clusterName,NSForest_markers,f_score
HAC8,"['ENSG00000251488', 'ENSG00000112319']",0.6398585615407764
HAC77,"['ENSG00000251488', 'ENSG00000003989', 'ENSG00000112319', 'ENSG00000162670']",0.0724777734827986
HAC72,"['ENSG00000156510', 'ENSG00000107736', 'ENSG00000186439']",0.0797549557880136
HAC80,"['ENSG00000198914', 'ENSG00000254101', 'ENSG00000233639', 'ENSG00000164326']",0.0514995455922447
HAC35,"['ENSG00000246662', 'ENSG00000144227', 'ENSG00000237928']",0.8048063623789765
RB,"['ENSG00000140563', 'ENSG00000227681']",0.8795650151197953
DB5,"['ENSG00000082293', 'ENSG00000147862']",0.8020371396895787
DB4b,"['ENSG00000196569', 'ENSG00000186314']",0.6592723621934312
DB4a,"['ENSG00000265485', 'ENSG00000182601']",0.8410991636798089
IMB,"['ENSG00000182601', 'ENSG00000173157']",0.7747299950908199
FMB,"['ENSG00000169836', 'ENSG00000163377']",0.7664155770324048
OFFx,"['ENSG00000230316', 'ENSG00000278254']",0.857109719322663
DB1,"['ENSG00000278254', 'ENSG00000249464']",0.762999487704918
DB3a,"['ENSG00000267109', 'ENSG00000136267']",0.8515531660692951
DB6,"['ENSG00000165025', 'ENSG00000249464']",0.721627099015634
Rod,"['ENSG00000278570', 'ENSG00000257165']",0.8239688812052358
ML_Cone,"['ENSG00000102076', 'ENSG00000120500']",0.7224
S_Cone,"['ENSG00000128617', 'ENSG00000250421']",0.9407648334318944
DB3b,"['ENSG00000249803', 'ENSG00000279240']",0.7286995515695067
DB2,"['ENSG00000163377', 'ENSG00000147862']",0.8265771472004054
HAC18,"['ENSG00000226965', 'ENSG00000041515']",0.718482167542162
HAC28,"['ENSG00000214402', 'ENSG00000178722', 'ENSG00000254226']",0.614841745081266
HAC66,"['ENSG00000122585', 'ENSG00000132915', 'ENSG00000047617']",0.5200501253132832
HAC24,"['ENSG00000122585', 'ENSG00000225811', 'ENSG00000241684']",0.6785907492561536
HAC86,"['ENSG00000251680', 'ENSG00000287881', 'ENSG00000145555', 'ENSG00000257165']",0.6045751633986928
HAC64,"['ENSG00000171502', 'ENSG00000173068', 'ENSG00000081479']",0.6024096385542169
HAC20,"['ENSG00000254101', 'ENSG00000285681']",0.7337461300309598
HAC92,"['ENSG00000251504', 'ENSG00000198914', 'ENSG00000133107']",0.0346020761245674
HAC79,"['ENSG00000133454', 'ENSG00000134853', 'ENSG00000146648']",0.0408580183861082
HAC3,"['ENSG00000133454', 'ENSG00000134853']",0.6606739761367301
HAC71,"['ENSG00000146674', 'ENSG00000134853', 'ENSG00000166342']",0.6790945406125166
HAC63,"['ENSG00000077522', 'ENSG00000140287', 'ENSG00000166342']",0.6582482536270822
HAC4,"['ENSG00000140287', 'ENSG00000178722', 'ENSG00000204767']",0.5516378525932666
HAC9,"['ENSG00000226965', 'ENSG00000187147']",0.8211009174311926
HAC87,"['ENSG00000146477', 'ENSG00000166342', 'ENSG00000136267', 'ENSG00000089169']",0.5785123966942148
