clusterName,NSForest_markers,f_score,onTarget,precision,recall
HAC8,"['ENSG00000251488', 'ENSG00000112319']",0.6398585615407764,0.3523458242416382,0.8205499276410999,0.3402
HAC77,"['ENSG00000251488', 'ENSG00000003989', 'ENSG00000112319', 'ENSG00000162670']",0.0724777734827986,0.2111877501010894,0.0608766233766233,0.3048780487804878
HAC72,"['ENSG00000156510', 'ENSG00000107736', 'ENSG00000186439']",0.0797549557880136,0.2915760576725006,0.0656361474435196,0.5714285714285714
HAC80,"['ENSG00000198914', 'ENSG00000254101', 'ENSG00000233639', 'ENSG00000164326']",0.0514995455922447,0.2039244472980499,0.0433673469387755,0.206060606060606
HAC35,"['ENSG00000246662', 'ENSG00000144227', 'ENSG00000237928']",0.8048063623789765,0.0888332799077034,0.9677754677754676,0.4808884297520661
RB,"['ENSG00000140563', 'ENSG00000227681']",0.8795650151197953,0.3416222929954529,0.9921285667431944,0.605
DB5,"['ENSG00000082293', 'ENSG00000147862']",0.8020371396895787,0.5423930287361145,0.9817642069550466,0.463
DB4b,"['ENSG00000196569', 'ENSG00000186314']",0.6592723621934312,0.1395329982042312,0.6741627963823026,0.6057544476169558
DB4a,"['ENSG00000265485', 'ENSG00000182601']",0.8410991636798089,0.5629720687866211,0.9594548551959114,0.5632
IMB,"['ENSG00000182601', 'ENSG00000173157']",0.7747299950908199,0.2135717421770095,0.8941218130311614,0.505
FMB,"['ENSG00000169836', 'ENSG00000163377']",0.7664155770324048,0.1961927711963653,0.951058201058201,0.4314
OFFx,"['ENSG00000230316', 'ENSG00000278254']",0.857109719322663,0.8279461860656738,0.9656974844821954,0.5912
DB1,"['ENSG00000278254', 'ENSG00000249464']",0.762999487704918,0.3604927659034729,0.8978899773926149,0.4766
DB3a,"['ENSG00000267109', 'ENSG00000136267']",0.8515531660692951,0.5379068851470947,0.9713798977853492,0.5702
DB6,"['ENSG00000165025', 'ENSG00000249464']",0.721627099015634,0.3963811099529266,0.9047186932849364,0.3988
Rod,"['ENSG00000278570', 'ENSG00000257165']",0.8239688812052358,0.2100583016872406,0.953554841014648,0.5338
ML_Cone,"['ENSG00000102076', 'ENSG00000120500']",0.7224,0.748731791973114,0.9632,0.3612
S_Cone,"['ENSG00000128617', 'ENSG00000250421']",0.9407648334318944,0.8156905770301819,0.9986921266021448,0.7636
DB3b,"['ENSG00000249803', 'ENSG00000279240']",0.7286995515695067,0.3661690950393677,0.8973252804141502,0.416
DB2,"['ENSG00000163377', 'ENSG00000147862']",0.8265771472004054,0.1103941723704338,0.967741935483871,0.522
HAC18,"['ENSG00000226965', 'ENSG00000041515']",0.718482167542162,0.1567791551351547,0.8783269961977186,0.4158
HAC28,"['ENSG00000214402', 'ENSG00000178722', 'ENSG00000254226']",0.614841745081266,0.2128066271543502,0.7642888790429774,0.345
HAC66,"['ENSG00000122585', 'ENSG00000132915', 'ENSG00000047617']",0.5200501253132832,0.0353327319025993,0.6587301587301587,0.282312925170068
HAC24,"['ENSG00000122585', 'ENSG00000225811', 'ENSG00000241684']",0.6785907492561536,0.1364485919475555,0.8201879852881079,0.4014
HAC86,"['ENSG00000251680', 'ENSG00000287881', 'ENSG00000145555', 'ENSG00000257165']",0.6045751633986928,0.2578072547912597,0.6981132075471698,0.3936170212765957
HAC64,"['ENSG00000171502', 'ENSG00000173068', 'ENSG00000081479']",0.6024096385542169,0.1199020892381668,0.8064516129032258,0.2994011976047904
HAC20,"['ENSG00000254101', 'ENSG00000285681']",0.7337461300309598,0.3382897973060608,0.9575757575757576,0.3792
HAC92,"['ENSG00000251504', 'ENSG00000198914', 'ENSG00000133107']",0.0346020761245674,0.6440948247909546,0.028391167192429,0.2769230769230769
HAC79,"['ENSG00000133454', 'ENSG00000134853', 'ENSG00000146648']",0.0408580183861082,0.2522085905075073,0.0333194502290712,0.4301075268817204
HAC3,"['ENSG00000133454', 'ENSG00000134853']",0.6606739761367301,0.3579527735710144,0.8854673149648838,0.3278
HAC71,"['ENSG00000146674', 'ENSG00000134853', 'ENSG00000166342']",0.6790945406125166,0.2369790077209472,0.816,0.4063745019920319
HAC63,"['ENSG00000077522', 'ENSG00000140287', 'ENSG00000166342']",0.6582482536270822,0.1899997293949127,0.8277027027027027,0.361890694239291
HAC4,"['ENSG00000140287', 'ENSG00000178722', 'ENSG00000204767']",0.5516378525932666,0.1819066703319549,0.6166560712015258,0.388
HAC9,"['ENSG00000226965', 'ENSG00000187147']",0.8211009174311926,0.1798154413700103,0.8815321477428181,0.6444
HAC87,"['ENSG00000146477', 'ENSG00000166342', 'ENSG00000136267', 'ENSG00000089169']",0.5785123966942148,0.0374009758234024,0.7368421052631579,0.3111111111111111
GB,"['ENSG00000168824', 'ENSG00000134160']",0.8069241011984021,0.1483303010463714,0.9676646706586828,0.4848
BB,"['ENSG00000250971', 'ENSG00000113262']",0.8592090624051785,0.560124933719635,0.9769982748706152,0.5796656431252133
HAC68,"['ENSG00000164326', 'ENSG00000132915', 'ENSG00000162599', 'ENSG00000047617']",0.6261510128913443,0.0609152950346469,1.0,0.2509225092250922
HAC19,"['ENSG00000164326', 'ENSG00000231252']",0.7756653992395437,0.1717152893543243,0.9083487940630798,0.4896
