author_cell_type,mean,std,median,count,q1,q3,f_score
ipRGC_1,0.8907075752659348,0.0706294532736297,0.9120526952552032,115,0.8937311538918298,0.9247200599146286,0.8782201405152225
ON_DSGC,0.8689162031205229,0.1248606374230296,0.9050068025577552,115,0.8856645499506464,0.9154536454756066,0.599250936329588
11,0.7773004127617664,0.18948464217023545,0.8339879470221574,470,0.7939483865754985,0.8511037955958658,0.6263048016701461
20,0.780720498094389,0.1416329825720367,0.8279902182948368,138,0.7874149874885611,0.8459644963694279,0.0228294943437372
1,0.7650729406236743,0.12676300120737002,0.8166676383452476,195,0.7340167724715518,0.843041957555329,0.505443234836703
0,0.7545338086297245,0.1728805424256732,0.7964384640016122,473,0.7518534883876338,0.8226296891570104,0.0926743159752868
OFFx,0.7341139948534707,0.20060023487656042,0.7861122229112925,15495,0.7242693497591446,0.811370202005939,0.857109719322663
18,0.7080559827994135,0.19341453189317878,0.7751123717617435,159,0.7215711185482097,0.8010798370964417,0.5970149253731343
3,0.6043735387820632,0.3598587478946295,0.7744483152377399,187,0.6204923078902462,0.7891515575581329,0.5808656036446469
PG_OFF_1,0.7474803194911227,0.10033994210659516,0.770798396957774,3997,0.7337534773102141,0.7997947287827604,0.7802915637696168
14,0.6227942722687051,0.3278865238780782,0.7673835469597459,128,0.6453225960629168,0.7862054040433788,0.5381944444444444
15,0.7176355987848247,0.1481181962683417,0.7643681219658824,235,0.7188821438777585,0.7870073841382881,0.604075691411936
HRGC4,0.6670350248888779,0.2031793888853011,0.7359960426993174,8035,0.6365647378673842,0.7740164840290995,0.262979465323518
ipRGC_2,0.6522363098213575,0.21459585109455567,0.7335298497846223,849,0.6618961439848847,0.7655272298723809,0.7174666006927264
SEG,0.6472593944766198,0.23215604002191847,0.7184201495961611,9405,0.6414763665247748,0.7529556844250223,0.8163913595933926
HAC65,0.614263663199152,0.26214307964287437,0.7091445024478518,595,0.6220360822231049,0.7443008711149391,0.6973400431344356
Microglia,0.6606076872963269,0.13521506022584742,0.702806288263438,4894,0.6471876235391659,0.7323799905936994,0.9152652005174644
H2,0.6620292934042901,0.16912869995118832,0.7007344459622276,11965,0.6356357327928892,0.7465841935344126,0.7254247572815534
BB,0.5836955576732877,0.2897872743885807,0.699881420752705,2931,0.5986425768874034,0.7254935258397034,0.8592090624051785
HAC21,0.6230524480299419,0.25714691907811,0.6982531026303078,7906,0.6412447090550193,0.7272349619961884,0.8296330918438888
HAC29,0.5787627498140498,0.2880984168112894,0.6919344593537228,5021,0.5827543815831505,0.7264698481186735,0.7954804189435337
DB4b,0.5870180435185947,0.2633560548482139,0.6873703186098037,4553,0.5819803414695113,0.7251182698275471,0.6592723621934312
DB3b,0.6343774071613258,0.16615534069105165,0.6794201173661801,35342,0.5837546600231115,0.7320346669500597,0.7286995515695067
HAC95,0.5935775182705516,0.19169071306854954,0.6717593981306532,39,0.5019244810723096,0.7214194060273662,0.7086614173228346
19,0.5788645101331806,0.2466364765426133,0.6716111600338097,345,0.5853704034976372,0.7065126107608848,0.7271815446339017
HAC35,0.626310025038385,0.1660160642385562,0.6712659005208996,3872,0.6035204543228188,0.7128160520027534,0.8048063623789765
S_Cone,0.617488556962242,0.1781601834414183,0.6606622917509044,8501,0.5875878761683557,0.7102955474466308,0.9407648334318944
DB6,0.6070911290493396,0.17512098689859715,0.6508550593906035,18587,0.5549887089855292,0.7135153062472858,0.721627099015634
PENK,0.5254714234935235,0.29503307841409326,0.6416591815406961,6329,0.5353012484419462,0.678793658249768,0.6172096317280453
DB1,0.5903696725304213,0.18283371840782306,0.6403541782989716,50429,0.542281769625916,0.6962897910281831,0.762999487704918
DB5,0.5979057568060321,0.16322037964405814,0.6377034194614022,52358,0.5394285041034752,0.706755192847778,0.8020371396895787
Astrocyte,0.5793035234704177,0.17132499010160526,0.6320444301284078,14085,0.5445408499743102,0.6815412025693048,0.8702472373103577
CAII,0.5170141606807347,0.25988247160300265,0.6300692040095482,3865,0.4848736220187381,0.664328453849709,0.866774916879301
HAC33,0.5261134999885889,0.28989002687101256,0.6269698051743269,4613,0.541245603668334,0.6671375359090994,0.8043087971274686
HAC26,0.5176278796078634,0.2922153185820445,0.6244272812600041,5929,0.517754224879952,0.6697895348842697,0.7542779945962174
DB3a,0.5830464295232413,0.16725496791264902,0.6193824388039594,21827,0.5380193039518081,0.677419208003865,0.8515531660692951
PG_OFF_2,0.5447628854028244,0.20140029660331563,0.6182606755905433,3312,0.4927368314024009,0.6762390186848002,0.6707434514637904
9,0.5068141535493104,0.23110203977962315,0.5978533024084323,96,0.49096893783579953,0.6347583565135093,0.55
IMB,0.5300945711730113,0.19846660597803786,0.591235040811924,106152,0.46884414876186753,0.6578537573866274,0.7747299950908199
HAC12,0.48740829249250306,0.2835571065847152,0.5875582868555628,12737,0.4700416043957934,0.6491944117737293,0.6255618819298772
PG_ON,0.5263204762764394,0.17975391912265015,0.5859781713005701,5058,0.4598852326010414,0.6497156902109545,0.7488905325443787
VIP,0.5266949986726375,0.2081240573555207,0.5831161592531002,8197,0.4815977424654105,0.6418905424114125,0.881747483989021
HAC17,0.4954225865108941,0.2611922422997895,0.5808666943734392,9383,0.4735365525333981,0.6426476486103857,0.722927807486631
RB,0.5391426742730351,0.16020721431099616,0.5787477320080058,101199,0.46161701965106944,0.6601451399049174,0.8795650151197953
DB2,0.5310579383070739,0.1666437261529353,0.5781705638880764,68176,0.4379813441961281,0.658105718205242,0.8265771472004054
HRGC5,0.5246851885780015,0.1494502513685191,0.5777659323775377,6657,0.4718817033534358,0.6305828741638343,0.1974706491712707
HAC38,0.462821061767872,0.30024634720798377,0.5765440552447523,3814,0.4180382266306664,0.6447586435172853,0.6495553759094583
HAC90,0.5006803367732999,0.21129726185368275,0.570368576202287,79,0.49614165822363254,0.604562970570746,0.7035175879396985
HRGC3,0.4305906049700917,0.32231378691179413,0.5701366749400497,8178,0.4143714369391043,0.6135602980273058,0.7491664351208669
HAC37,0.4698835955902241,0.25360825607823373,0.5664379287366391,3831,0.4378886232191698,0.6208111193363244,0.7391966117397922
HAC54,0.48061504171688774,0.21511909668110876,0.5596737939793346,1194,0.44658734046146087,0.6044145682135659,0.7458307597282273
17_21,0.49685125866932617,0.23264021211288288,0.5580841445278609,591,0.405710978011418,0.6693039526703171,0.6597774244833068
HAC79,0.42827045531276264,0.278496621817432,0.5501029850509194,186,0.3578187277625636,0.5944998838190941,0.0408580183861082
FMB,0.49479344415744764,0.18449167149642226,0.54601243543219,144086,0.41039544923124477,0.628585245996524,0.7664155770324048
HAC11,0.443849026287605,0.24494864400118269,0.5347968432808634,14899,0.4040491279310563,0.5861630492257216,0.7085096735187424
HAC59,0.41129031791916876,0.28580724742172464,0.5275948662909155,990,0.3778853592524655,0.5893542944555147,0.6945589447650453
HAC46,0.43920237091436765,0.25187787817765267,0.5268489768945596,2299,0.42806114521135447,0.577209544727256,0.730844793713163
H1,0.43586815704150383,0.2301181143074587,0.5243145125074422,68583,0.3374828415604679,0.6011963996694263,0.8615707162284678
HAC20,0.40926015129324467,0.26301049525484926,0.518128575789588,7927,0.3450259919543132,0.577953833200025,0.7337461300309598
HAC49,0.4388653813928374,0.2319807622031459,0.5169705734217181,2031,0.4178585893975125,0.5712046365415889,0.6522352277534903
HAC14,0.39414139942073634,0.26275789047199205,0.4978844411564964,11820,0.32757726054765024,0.5679862661096942,0.7930747263207997
16,0.35610218387079,0.35171910613368207,0.4960089114741657,50,0.36421806489341435,0.5509646796269267,0.4929577464788732
HAC18,0.4117811900615404,0.25060933683909176,0.4939184120067721,8542,0.3562061505771186,0.5667593313684287,0.718482167542162
HAC92,0.3818952567136591,0.2914362249201026,0.4905897901140837,65,0.3664483584221193,0.5532012629158916,0.0346020761245674
HAC40,0.24816865550294684,0.41345503411452295,0.4885425013335185,3095,0.017963842094735602,0.544199015641881,0.7151611717122196
HAC48,0.3451250092318088,0.31688442575792225,0.47957146312311,2215,0.2426767654250798,0.5620300276327391,0.6222603392414713
HAC42,0.3600936776788404,0.28101906498580437,0.4766749320214652,2695,0.29360299487003316,0.5414754131633928,0.7077122488658457
HAC32,0.3192960388380739,0.32253325928597365,0.4703380052586284,4645,0.2403927255372737,0.5314580878307309,0.7329309398761464
GB,0.33180273081230016,0.2695439345607918,0.4519110058316107,25269,0.2383263628451558,0.5186155428517363,0.8069241011984021
VG3,0.3427824741900264,0.296689974179757,0.4433169890095162,25272,0.277341177105504,0.5315004612523733,0.8342547545333923
HAC28,0.2945390360014107,0.32815697179673803,0.4421727661791013,5622,0.2346372354236872,0.5099013104502572,0.614841745081266
HAC2,0.29696161077723704,0.3061892674388454,0.4357340959150013,44445,0.1694528536919144,0.5169736503651856,0.5840355805243446
AII*,0.3024543100332065,0.2991727532898682,0.4343299438075168,1057,0.183771223464053,0.5129541890509255,0.6433895645351118
HAC45,0.3637002874672265,0.2187067217318198,0.4332722050268501,2312,0.31294852547602375,0.4983002607291355,0.7665553700612131
HAC68,0.28846562452606317,0.29692514177590995,0.42945782447879716,542,0.18339353416666704,0.5042601138311551,0.6261510128913443
HAC34,0.26647790021184525,0.35835003527294906,0.4231120930297694,4222,0.07192082157879026,0.5353919432369845,0.7005868040646915
HAC27,0.28989928581510516,0.3145913478490726,0.4209595286405213,5887,0.2250962904089049,0.4995431791091075,0.6574533255542591
DB4a,0.3387097557828109,0.23569203495259666,0.414259035453573,44604,0.24675755149258197,0.5063931899152598,0.8410991636798089
