dataset_version_id,cluster_name,skos,manual_mapped_cid,cell_ontology_id
a195debd-2179-4626-be55-68fa6e05d19d,DC1,exactMatch,CL:0002394,CL:0000990
a195debd-2179-4626-be55-68fa6e05d19d,DC2,exactMatch,CL:0002399,CL:0000451
a195debd-2179-4626-be55-68fa6e05d19d,Differentiated_KC,relatedMatch,CL:0000312,CL:0000312
a195debd-2179-4626-be55-68fa6e05d19d,F1,relatedMatch,CL:0002620,CL:0002620
a195debd-2179-4626-be55-68fa6e05d19d,F2,relatedMatch,CL:0002620,CL:0002620
a195debd-2179-4626-be55-68fa6e05d19d,F3,relatedMatch,CL:0002620,CL:0002620
a195debd-2179-4626-be55-68fa6e05d19d,ILC1_3,relatedMatch,CL:0001067,CL:0001065
a195debd-2179-4626-be55-68fa6e05d19d,ILC1_NK,relatedMatch,CL:0001067,CL:0001065
a195debd-2179-4626-be55-68fa6e05d19d,ILC2,exactMatch,CL:0001081,CL:0001065
a195debd-2179-4626-be55-68fa6e05d19d,Inf_mac,exactMatch,CL:0000863,CL:0000863
a195debd-2179-4626-be55-68fa6e05d19d,LC,exactMatch,CL:0002457,CL:0000453
a195debd-2179-4626-be55-68fa6e05d19d,LE1,relatedMatch,CL:2000011,CL:0002138
a195debd-2179-4626-be55-68fa6e05d19d,LE2,relatedMatch,CL:2000011,CL:0002138
a195debd-2179-4626-be55-68fa6e05d19d,Macro_1,relatedMatch,CL:0000235,CL:0000235
a195debd-2179-4626-be55-68fa6e05d19d,Macro_2,relatedMatch,CL:0000235,CL:0000235
a195debd-2179-4626-be55-68fa6e05d19d,Mast_cell,exactMatch,CL:0000097,CL:0000097
a195debd-2179-4626-be55-68fa6e05d19d,Melanocyte,exactMatch,CL:1000458,CL:0000148
a195debd-2179-4626-be55-68fa6e05d19d,MigDC,exactMatch,CL:4047054,CL:0000451
a195debd-2179-4626-be55-68fa6e05d19d,migLC,relatedMatch,CL:0002457,CL:0000453
a195debd-2179-4626-be55-68fa6e05d19d,moDC,exactMatch,CL:0011031,CL:0011031
a195debd-2179-4626-be55-68fa6e05d19d,Mono_mac,relatedMatch,CL:0000576,CL:0000235
a195debd-2179-4626-be55-68fa6e05d19d,NK,exactMatch,CL:0000623,CL:0000623
a195debd-2179-4626-be55-68fa6e05d19d,Pericyte_1,relatedMatch,CL:0000669,CL:0000669
a195debd-2179-4626-be55-68fa6e05d19d,Pericyte_2,relatedMatch,CL:0000669,CL:0000669
a195debd-2179-4626-be55-68fa6e05d19d,Plasma,exactMatch,CL:0000786,CL:0000786
a195debd-2179-4626-be55-68fa6e05d19d,Schwann_1,relatedMatch,CL:0002573,CL:0002573
a195debd-2179-4626-be55-68fa6e05d19d,Schwann_2,relatedMatch,CL:0002573,CL:0002573
a195debd-2179-4626-be55-68fa6e05d19d,Tc,exactMatch,CL:0000910,CL:0000910
a195debd-2179-4626-be55-68fa6e05d19d,Th,exactMatch,CL:0000912,CL:0000912
a195debd-2179-4626-be55-68fa6e05d19d,Treg,exactMatch,CL:0000815,CL:0000815
a195debd-2179-4626-be55-68fa6e05d19d,Undifferentiated_KC,relatedMatch,CL:0000312,CL:0000312
a195debd-2179-4626-be55-68fa6e05d19d,VE1,relatedMatch,CL:2000010,CL:0002139
a195debd-2179-4626-be55-68fa6e05d19d,VE2,relatedMatch,CL:2000010,CL:0002139
a195debd-2179-4626-be55-68fa6e05d19d,VE3,relatedMatch,CL:2000010,CL:0002139
